product,bloated_deps_count_1,bloated_deps_loc_1,bloated_files_count_1,bloated_files_loc_1,bloated_functions_count_1,bloated_functions_loc_1,used_direct_deps_count_1,used_direct_deps_loc_1,used_direct_files_count_1,used_direct_files_loc_1,used_direct_functions_count_1,used_direct_functions_loc_1,transitive_bloated_dependencies_count,transitive_bloated_dependencies_loc,transitive_bloated_files_count,transitive_bloated_files_loc,transitive_bloated_functions_count,transitive_bloated_functions_loc,transitive_used_dependencies_count,transitive_used_dependencies_loc,transitive_used_files_count,transitive_used_files_loc,transitive_used_functions_count,transitive_used_functions_loc
airbnb/knowledge-repo,3,4442,698,228316,12430,164716,16,337296,214,113422,771,20384,40,321671,1909,588999,30838,421001,26,423005,159,155677,859,19704
plus3it/watchmaker,1,998,33,12177,922,12949,4,18369,14,7190,62,1056,2,4477,29,5539,476,4381,2,2681,5,1619,24,186
threat9/routersploit,0,0,364,74286,5293,70137,4,122898,110,48612,408,7609,7,96484,391,131866,6683,90161,5,48103,25,12721,132,2369
kislyuk/watchtower,0,0,32,6750,344,5826,1,8175,5,1425,10,253,5,29724,146,59067,3475,44328,1,34442,8,5099,61,759
juniper/py-junos-eznc,3,7509,194,46302,4015,52911,9,80245,60,41452,424,8337,6,43725,203,69456,4024,46739,1,27538,4,1807,64,945
juniper/jsnapy,2,25635,340,67392,3393,47418,5,50500,16,8743,108,1784,14,93300,409,133927,7583,95453,3,47694,13,7067,95,1581
pyscaffold/pyscaffold,0,0,86,29934,2021,24047,5,40361,25,10427,208,3295,3,6702,28,6702,355,4235,0,0,0,0,0,0
nci-gdc/gdcdictionary,0,0,31,7101,740,8701,2,12200,11,5099,23,289,13,73293,193,73293,2995,49484,0,0,0,0,0,0
bparzella/secsgem,0,0,29,8259,588,9449,2,12555,3,4296,7,101,2,4162,4,4162,253,2769,0,0,0,0,0,0
sendgrid/sendgrid-python,0,0,8,356,50,383,1,911,9,555,26,178,0,0,2,120,21,246,1,416,1,296,1,29
pythonot/pot,0,0,627,309309,9907,267042,2,390953,69,81644,430,21250,0,0,0,0,0,-774,0,0,0,0,0,0
seisman/hinetpy,0,0,7,580,154,2075,1,5435,11,4855,84,1853,3,7625,51,27295,659,19498,2,22552,9,2882,38,787
biosustain/cameo,3,33678,1315,524584,17026,431948,14,607027,131,116121,780,28233,96,756262,3766,1435045,64069,970008,14,923486,79,244703,475,8790
sentinelsat/sentinelsat,0,0,53,11076,928,14425,6,24976,37,13900,192,3932,3,5725,47,25395,669,17837,2,22552,9,2882,38,787
mar10/wsgidav,0,0,54,17740,1358,16139,4,22940,8,5200,38,532,1,367,2,367,34,212,0,0,0,0,0,0
gmplot/gmplot,0,0,11,2120,223,3664,1,5435,7,3315,13,260,3,16103,53,26116,643,18186,1,11176,2,1163,3,77
s3tools/s3cmd,0,0,16,3785,300,5177,2,8422,5,4637,53,1209,1,998,1,998,61,318,0,0,0,0,0,0
codecov/codecov-python,1,14037,50,16157,856,13958,1,5435,7,3315,14,274,4,17441,56,27454,658,19337,1,11176,2,1163,3,77
halfak/deltas,1,157,8,157,7,106,0,0,0,0,0,0,1,5960,18,5960,348,4644,0,0,0,0,0,0
codalab/codalab-worksheets,11,235951,2296,817984,35230,565731,19,720092,165,138059,784,14158,51,549699,1615,571523,24220,367748,6,38277,29,16453,149,3162
lxc/pylxd,0,0,128,26169,1915,20200,5,34886,18,8717,147,3115,5,24845,79,44081,1865,31652,2,22552,10,3316,39,797
nfcpy/nfcpy,0,0,24,7076,727,7853,3,15138,17,8062,87,1444,0,0,0,0,0,-141,0,0,0,0,0,0
xattr/xattr,0,0,6,1536,410,3798,1,8157,10,6621,147,2519,0,0,14,8340,637,7358,1,10963,3,2623,3,153
christiansandberg/canopen,0,0,82,23688,758,14801,1,25735,6,2047,15,504,4,10358,91,37654,1977,25238,1,27538,1,242,3,21
mbj4668/pyang,1,7110,28,7110,332,4491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
booya-at/openglider,2,264078,1059,468326,18591,372524,6,281415,98,77167,593,10625,7,50799,254,72276,4390,41085,3,27484,20,6007,117,1620
clinical-genomics/scout,0,0,9,1196,295,4924,1,8791,13,7595,59,1541,3,17202,108,40103,4025,42385,6,50125,37,27224,170,3735
psy0rz/zfs_autobackup,0,0,5,780,149,1494,2,3274,2,2494,47,960,1,2781,14,2781,141,2358,0,0,0,0,0,0
google/openhtf,6,46196,167,52557,2576,39516,4,12690,13,6329,37,965,13,108092,351,108092,4278,54873,0,0,0,0,0,0
google/apitools,0,0,31,4209,453,7012,3,12569,18,8360,79,1551,1,10913,184,43792,1295,15899,4,39488,7,6609,34,651
google/mobly,1,336,13,3943,346,4670,1,5923,6,2316,11,182,1,10181,10,10181,544,6829,0,0,0,0,0,0
diyan/pywinrm,1,998,8,1578,233,2888,2,5979,12,5399,82,1859,5,37416,181,73299,3591,50597,4,40470,13,4587,42,815
danirus/django-comments-xtd,2,44095,961,161014,11389,131102,2,165135,105,48216,420,6804,2,6933,33,8276,509,5220,2,4373,5,3030,17,337
sage-bionetworks/synapsepythonclient,1,1682,20,2277,274,3460,2,6004,13,5409,85,1992,10,48282,195,68697,3905,47725,3,24943,11,4528,49,949
galvant/instrumentkit,1,3072,94,35838,1792,25866,5,42462,11,9696,99,1558,5,197532,551,197532,6719,135895,0,0,0,0,0,0
