product,own_files_count,own_files_loc,own_functions_count,own_functions_loc,total_dependency_functions_count,total_dependency_functions_loc,total_dependency_files_count,total_dependency_files_loc,reachable_dependencies,reachable_dependencies_loc,reachable_dependency_files,reachable_dependency_files_loc,reachable_dependency_functions,reachable_dependency_functions_loc,total_dependencies_count,total_dependencies_loc,bloated_dependencies_count,bloated_dependencies_loc,bloated_files_count,bloated_files_loc,bloated_functions_count,bloated_functions_loc,vulnerable_dependencies_reachable,vulnerable_dependencies_bloated,vulnerable_dependencies_reachable_through_functions,vulnerable_dependencies_bloated_through_functions,vulnerable_dependencies_unresolved_through_functions
cog-creators/red-discordbot,190,72166,2738,56933,14368,224887,1130,452244,30,336628,152,92604,683,13797,43,43,13,115616,978,359640,13700,211090,1,0,1,0,0
projectq-framework/projectq,222,41810,1849,29211,23525,559418,1653,820053,9,674106,91,99783,494,20767,20,20,11,145947,1562,720270,23034,538651,0,1,0,0,0
jupyter/kernel_gateway,30,2947,143,1858,27458,388569,2132,687486,15,117497,61,37876,266,5989,87,87,72,569989,2071,649610,27210,382580,0,1,0,0,0
jupyter/nbgrader,135,17657,695,10809,41082,587613,2646,985795,18,370224,147,171275,921,21623,103,103,85,615571,2499,814520,40185,565990,0,1,0,0,0
aliyun/aliyun-oss-python-sdk,34,18887,1021,13977,6840,85256,449,133712,7,97247,43,17824,193,3592,13,13,6,36465,406,115888,6647,81664,0,2,0,0,0
whynothugo/django-mercadopago,33,1990,37,399,11946,158582,1115,232649,6,195482,73,35996,246,4122,16,16,10,37167,1042,196653,11711,154460,0,1,0,0,0
armmbed/mbed-cli,7,3981,212,3005,4257,66979,388,110164,2,10961,15,6725,64,1205,18,18,16,99203,373,103439,4194,65774,0,1,0,0,0
snok/django-auth-adfs,47,2019,50,952,12496,156191,1098,230022,7,199242,124,53675,554,10494,13,13,6,30780,974,176347,11951,145697,1,1,0,1,0
goshippo/shippo-python-client,10,1254,76,790,1216,25479,124,37612,3,21676,17,6648,40,1199,6,6,3,15936,107,30964,1176,24280,1,1,0,1,0
atlassian-api/atlassian-python-api,47,23877,1554,20610,1588,34022,165,49410,6,32309,16,6090,29,664,10,10,4,17101,149,43320,1560,33358,0,1,0,0,0
picklepete/pyicloud,15,3054,205,2312,4906,65227,279,96218,7,43347,32,11918,188,3541,18,18,11,52871,247,84300,4718,61686,0,2,0,0,0
donnemartin/saws,25,2800,89,1716,12188,141914,986,324241,5,152692,63,25501,312,7336,17,17,12,171549,923,298740,11879,134578,1,0,0,1,0
pahaz/sshtunnel,4,2323,85,1564,3607,44474,183,63779,1,20421,14,9556,113,2193,6,6,5,43358,169,54223,3494,42281,0,1,0,0,0
scrapy/scrapy,176,22846,1556,15579,18214,218391,1037,356948,17,255397,165,117812,799,13981,36,36,19,101551,872,239136,17427,204410,1,1,0,1,0
scrapy/scrapyd,26,1779,181,1109,19741,233702,1207,379173,7,232098,112,76992,458,7395,37,37,30,147075,1095,302181,19287,226307,0,2,0,0,0
autopkg/autopkg,71,19561,875,13149,7848,101640,495,143239,6,50068,20,10458,137,2138,31,31,25,93171,475,132781,7711,99502,0,0,0,0,1
jrnl-org/jrnl,49,5251,238,3618,7019,89220,657,233184,11,183917,62,25335,267,5635,20,20,9,49267,595,207849,6753,83585,1,0,0,1,0
archlinux/arch-security-tracker,52,5526,257,3606,21978,305950,1217,445969,25,368397,166,144562,769,18098,40,40,15,77572,1051,301407,21233,287852,1,1,0,1,0
cmu-delphi/delphi-epidata,145,20477,739,13809,2630,43169,159,62308,8,57202,32,18594,155,3579,13,13,5,5106,127,43714,2480,39590,1,1,0,1,0
