product,NBD,NBFD,NBMD,NBD-LOC,NBFD-LOC,NBMD-LOC,PBD,PBFD,PBMD,PBD-LOC,PBFD-LOC,PBMD-LOC,unique_unresolved_count,unique_resolved_count,unresolved_count,resolved_count
jazzband/django-push-notifications,2,764,8401,6933,99390,98574,50.0,84.79467258601554,93.70886781929727,4.391309855586521,62.95287560172282,91.57918207324552,0,90,9,303
jazzband/django-user-sessions,2,799,8515,6933,115675,100089,50.0,88.67924528301887,94.98047964305633,4.391309855586521,73.26767164935394,92.98667756740184,4,92,14,247
jazzband/django-payments,6,1453,9775,37403,171425,129143,60.0,94.90529065969955,96.90690988400912,18.24883758373544,83.63786281292539,95.56591556591557,3,138,20,368
bitmessage/pybitmessage,4,272,4106,85661,85661,54327,100.0,100.0,100.0,100.0,100.0,100.0,18,0,21,0
poliastro/poliastro,30,4759,64872,268173,1671614,1396884,66.66666666666666,94.40587185082325,96.56876609553865,12.880566110325809,80.28897255855796,94.53281549140506,3303,45529,42704,242598
coin-or/pulp,1,29,432,9673,9673,7449,100.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0
facelessuser/pymdown-extensions,1,48,829,414,10019,9702,25.0,77.41935483870968,92.72930648769575,2.7317716925107227,66.1101946552293,92.56750310084915,1,66,1,172
pypa/readme_renderer,2,428,3707,1525,150377,40000,33.33333333333333,88.98128898128898,91.66666666666666,0.8507670850767085,83.8923291492329,84.2158452112765,3,31,3,32
pypa/setuptools_scm,1,88,1800,27538,31238,23467,20.0,80.0,93.45794392523365,71.89515181578466,81.55496958462784,91.83298113798232,4,42,7,166
pypa/auditwheel,0,36,677,0,8600,6748,0.0,67.9245283018868,80.2132701421801,0.0,56.22752533507682,80.45785143674735,0,23,0,45
pseudonym117/riot-watcher,4,151,1069,19376,31368,23930,66.66666666666666,93.7888198757764,98.43462246777163,53.841665045710954,87.16480951454692,98.55036652664525,0,41,5,46
release-engineering/kobo,0,0,60,0,0,361,0.0,0.0,98.36065573770492,0.0,0.0,99.44903581267218,90,2,155,2
pytrip/pytrip,10,983,16011,57829,568402,378005,71.42857142857143,90.68265682656826,96.52158186640946,8.310292697507588,81.6819759955854,94.11350237023464,38,21245,24302,158296
