product,own_files_count,own_files_loc,own_functions_count,own_functions_loc,total_dependency_functions_count,total_dependency_functions_loc,total_dependency_files_count,total_dependency_files_loc,total_dependencies_count,bloated_dependencies_count,bloated_dependencies_loc,bloated_files_count,bloated_files_loc,bloated_functions_count,bloated_functions_loc,vulnerable_dependencies_reachable,vulnerable_dependencies_bloated,vulnerable_dependencies_reachable_through_functions,vulnerable_dependencies_bloated_through_functions,vulnerable_dependencies_unresolved_through_functions
log2timeline/dfvfs,319,32712,1428,24645,9732,139896,679,247667,32,28,211838,655,236253,9671,138698,1,0,0,1,0
qcodes/qcodes,428,87004,3357,63912,53253,887911,3888,1472270,94,69,777914,3632,1177977,51402,826438,0,2,0,0,0
moonso/genmod,60,7050,120,5126,3045,44688,153,62623,16,9,39619,134,49489,2952,42442,1,0,0,1,0
sharppy/sharppy,76,29113,1097,24286,1246,28450,92,41328,7,2,15979,80,34131,1200,27226,1,0,0,0,1
farrokhi/dnsdiag,8,1388,27,1005,2524,43051,241,63428,8,3,16103,223,52909,2446,41215,0,1,0,0,0
wheatoncs/lexos,64,10385,408,8142,58611,1419833,5624,2228034,71,55,705033,5496,2058674,58009,1391064,0,2,0,0,0
nordicsemiconductor/pc-ble-driver-py,12,5126,391,3370,2674,26330,110,38674,4,2,19120,102,34118,2641,25829,1,0,0,1,0
nordicsemiconductor/pc-nrfutil,41,9170,346,4882,7031,79162,347,130517,17,5,57046,288,96876,6680,73064,0,1,0,0,0
frictionlessdata/frictionless-py,336,25713,1108,13186,8817,140088,1245,349387,38,27,279252,1193,322598,8581,133133,0,1,0,0,0
frictionlessdata/datapackage-py,15,2845,132,2161,18380,263713,943,444691,35,24,350762,879,425347,18121,258687,0,1,0,0,0
f5networks/f5-common-python,308,31824,1808,15168,974,23247,79,34751,7,4,27279,73,31859,966,23123,0,1,0,0,0
f5networks/f5-openstack-agent,50,16011,738,12367,2494,36204,357,62113,8,6,33837,343,56256,2444,35593,0,1,0,0,0
optimizely/python-sdk,54,10538,369,7635,4625,63457,250,93021,16,13,71763,239,86728,4604,62908,0,2,0,0,0
okpy/ok-client,74,8406,472,6086,9425,120151,538,181567,23,18,128816,505,168866,9175,116269,1,2,1,0,0
alessandroz/lazagne,247,33751,1356,20009,6666,75359,355,118917,8,2,29136,319,99302,6464,72507,0,1,0,0,0
aws-quickstart/taskcat,57,7856,389,5378,34751,613510,2562,1058316,38,22,879019,2474,999836,34089,601349,0,1,0,0,0
fishtown-analytics/dbt,199,52533,3473,31542,14119,255251,1114,348934,45,19,81791,984,290695,13769,246311,0,1,0,0,0
playpauseandstop/rororo,21,3806,120,2100,7847,106131,648,157103,29,11,59398,595,132680,7685,102877,1,0,0,1,0
hyphaapp/hypha,854,53259,2165,20053,16579,277938,1075,390827,40,37,364086,1058,379552,16509,276685,0,1,0,0,0
mozilla-services/kinto-dist,19,2501,87,2025,32459,480155,2279,725922,68,59,623354,2244,706458,32359,478250,0,1,0,0,0
torchbox/wagtailmedia,30,2002,86,952,20872,261599,2294,405308,32,19,100591,2116,322505,20319,251289,0,1,0,0,0
httpie/http-prompt,17,1969,134,1041,14401,218449,1401,474008,23,9,199442,1236,410734,13398,200753,0,1,0,0,0
httpie/httpie,86,10742,500,6168,10525,168601,1127,395447,15,5,186393,1034,355616,10086,158505,0,1,0,0,0
spyder-ide/spyder-notebook,22,2614,111,1714,57631,792860,4203,1338550,162,138,900491,4110,1280607,57271,784282,0,2,0,0,0
auhau/toggl-cli,20,5318,264,3182,5423,89343,442,134908,26,7,17833,378,102234,5162,83542,0,1,0,0,0
zalando/connexion,52,8551,565,5826,4939,78843,282,114367,22,10,22422,231,76353,4786,75693,0,1,0,0,0
altschool/dynamic-rest,40,5792,267,4189,10645,130978,1042,191313,13,8,42283,944,148502,10286,124814,0,1,0,0,0
pimutils/khal,30,11063,587,8219,2678,40231,108,56318,11,1,4396,62,17722,2229,29473,1,0,0,1,0
auth0/auth0-python,61,7748,428,5679,3476,48437,190,71666,9,5,35223,170,62121,3416,47386,1,1,0,1,0
unidata/siphon,27,8408,304,4719,11779,273162,652,367110,14,7,34408,513,198432,10560,231416,0,1,0,0,0
unidata/metpy,68,36262,897,26735,33128,723223,1935,1046416,30,11,143245,1649,694893,30799,639628,0,1,0,0,0
epistasislab/tpot,37,7474,147,4629,22331,593533,1432,812308,19,10,56274,1137,463384,19822,497551,0,1,0,0,0
jupyter-incubator/sparkmagic,78,6247,360,3889,49330,1031630,4536,1567276,105,88,509548,4436,1467840,48854,1018646,0,2,0,0,0
byt3bl33d3r/crackmapexec,115,16074,549,11199,34997,483337,3058,954841,69,36,451063,2736,787518,32976,443611,1,1,0,1,0
mailpile/mailpile,158,54346,522,6809,8552,120345,481,178175,20,11,102507,460,168323,8495,119662,1,0,0,1,0
twisted/axiom,27,10727,686,6880,16606,193618,923,321497,20,17,311431,908,318005,16580,193352,0,1,0,0,0
twisted/treq,11,2178,110,1523,16876,202887,930,333767,22,13,108706,878,296254,16650,198703,0,2,0,0,0
dictation-toolbox/caster,350,22712,1061,9918,3892,60303,256,92024,14,13,64486,250,90056,3845,59621,0,1,0,0,0
grow/grow,283,32134,2171,23997,13508,191715,1163,396365,47,20,103293,1029,315465,12879,179094,3,1,0,2,1
cloudant/python-cloudant,20,7397,294,5338,882,22187,73,32714,5,2,4727,53,24977,762,19553,0,1,0,0,0
counterpartyxcp/counterblock,28,6944,250,5807,12179,158765,560,238333,22,14,183578,539,224058,12072,155647,1,2,0,0,1
undergreen/ansible-role-mongodb,1,503,8,289,14945,216223,1334,457407,52,52,457407,1334,457407,14945,216223,0,2,0,0,0
vanheeringen-lab/gimmemotifs,73,20686,547,16579,66866,1320298,3869,1949370,61,30,506288,3467,1496836,63558,1195700,0,1,0,0,0
vanheeringen-lab/genomepy,34,6793,275,5322,20974,449123,1286,645777,28,11,83776,1108,457814,19609,403384,0,1,0,0,0
instana/python-sensor,129,11267,477,7568,2233,36764,198,57551,12,4,20807,164,44388,2074,33456,0,1,0,0,0
qiniu/python-sdk,36,5842,417,4493,882,22187,73,32714,5,3,16103,60,26696,815,20747,0,1,0,0,0
bird-house/flyingpigeon,36,6499,123,4846,23118,391748,1064,590772,40,29,331846,969,507011,22662,379031,0,1,0,0,0
ably/ably-python,44,5477,487,3825,2869,45114,206,71100,17,5,26090,130,44320,2422,37060,1,0,0,0,1
furlongm/patchman,81,6070,199,3056,11843,145114,1184,249121,22,10,67612,1062,195712,11394,137305,2,1,0,1,1
tuw-geo/ascat,18,8138,232,6787,10637,252132,600,333419,17,11,177056,563,287377,10476,245752,0,1,0,0,0
rallytools/rallyresttoolkitforpython,15,6347,182,4806,1110,27089,84,39257,7,3,10272,63,30522,989,24456,0,1,0,0,0
kklmn/xrt,40,23097,236,6920,30551,586541,2083,996374,35,27,338224,2017,923820,30262,576070,0,1,0,0,0
alisw/alibuild,16,3837,135,3230,5567,82261,280,115859,15,7,26752,229,86485,5353,78770,0,1,0,0,0
offu/werobot,34,4154,256,2789,900,22647,74,33258,6,3,16103,62,27061,877,22008,0,1,0,0,0
wikimedia/revscoring,173,21863,650,8784,24869,485992,1347,684818,33,16,146687,1256,599762,24403,472820,0,2,0,0,0
ledatelescope/bifrost,91,14967,871,9451,9483,134465,576,203235,33,31,168081,571,199795,9442,133665,0,2,0,0,0
robotframework/sshlibrary,22,5116,328,3635,7958,75321,417,115279,8,5,43358,312,84284,7289,68271,0,1,0,0,0
robotframework/seleniumlibrary,56,8696,467,6124,14822,156799,766,258278,16,14,77833,656,230597,14201,151334,0,1,0,0,0
stevenblack/hosts,4,4227,189,3575,915,22441,74,33061,6,4,16450,64,27549,897,22051,0,1,0,0,0
python-telegram-bot/python-telegram-bot,178,58048,1384,33529,1780,27706,124,39980,8,1,1006,75,21068,1440,21988,1,0,0,0,1
lneuhaus/pyrpl,77,22097,1266,13582,24567,529282,1528,711438,20,11,72452,1301,463267,22803,471686,0,1,0,0,0
rmcgibbo/sphinxcontrib-autodoc_doxygen,7,889,53,715,10774,148268,825,325606,25,19,179144,798,307327,10715,147171,0,1,0,0,0
easypost/easypost-python,92,3072,203,1788,1045,23955,74,35870,6,4,19259,64,31077,1027,23602,0,1,0,0,0
flask-middleware/flask-security,35,12604,501,8535,5154,73288,288,112142,18,6,20000,242,81415,4958,69333,0,0,0,0,0
fedora-infra/anitya,107,13826,412,9304,36730,480792,2020,742309,69,36,222113,1850,579807,35952,461150,0,2,0,0,0
fedora-infra/the-new-hotness,55,4587,106,2607,22301,279313,1183,437665,44,30,170171,1125,399333,22039,273872,0,2,0,0,0
jupyterhub/batchspawner,6,1147,47,500,21859,318629,912,469649,37,30,382502,885,443154,21772,315832,0,2,0,0,0
inmanta/inmanta-core,160,59806,3781,39612,17915,264058,1212,470700,47,15,258180,1063,386893,17034,245607,1,1,0,1,0
pslmodels/tax-calculator,33,12216,238,10333,2012,40539,122,63863,11,11,63863,122,63863,2012,40539,0,1,0,0,0
pslmodels/og-core,22,14526,171,13471,44400,885981,2692,1328913,47,26,373018,2418,1013770,42299,814003,0,1,0,0,0
lowerquality/gentle,21,1676,107,1170,4567,60062,277,84410,11,11,84410,277,84410,4567,60062,0,1,0,0,0
googleads/googleads-python-lib,7,2823,113,1883,4937,80899,603,144772,24,17,99694,573,129841,4820,78905,0,1,0,0,0
naomiproject/naomi,252,32025,1052,25997,3419,54968,219,81635,15,3,7975,170,62278,3154,49417,0,1,0,0,0
tardis-sn/tardis,126,32509,926,25563,2402,45315,174,67432,16,14,50821,165,62954,2386,44978,0,1,0,0,0
piqueserver/piqueserver,110,18508,1213,12161,24690,302217,1224,502603,30,16,121437,1061,354506,23529,283552,2,0,1,1,0
googlefonts/pyfontaine,418,220348,499,215447,5894,94517,395,154634,9,5,19274,384,148666,5873,94093,0,1,0,0,0
jag1g13/pycgtool,12,2633,119,2155,14195,345327,1216,582928,13,10,399967,1172,532967,14014,337781,0,0,0,0,0
thetisproject/thetis,49,23919,842,15503,11160,303105,757,413252,9,3,1287,708,351425,10906,293358,0,1,0,0,0
razorpay/razorpay-python,30,1926,163,1456,882,22187,73,32714,5,3,16103,65,28393,868,21908,0,1,0,0,0
brickschema/brick,27,12764,30,924,61040,1148331,3879,1706847,103,89,1452642,3760,1647280,60437,1133050,0,1,0,0,0
econforge/dolo.py,61,12146,467,8193,62688,1099674,3829,1862062,56,41,864220,3665,1689709,61790,1069787,0,1,0,0,0
matrix-org/matrix-python-sdk,18,3304,182,2456,1113,24717,91,36175,6,3,7712,77,29402,1068,23859,0,1,0,0,0
matrix-org/synapse,548,198753,6023,150958,21372,283987,1620,535082,70,59,456292,1569,503262,21059,276060,1,2,0,1,0
dallinger/dallinger,87,20991,1208,15210,62558,855438,4404,1716279,90,46,466866,4111,1499948,61170,824982,0,2,0,0,0
iqtlabs/poseidon,43,5706,308,4561,4489,66661,256,96493,11,11,96493,256,96493,4489,66661,0,2,0,0,0
matlink/gplaycli,6,818,25,654,5836,84089,310,139486,14,8,79136,281,124947,5676,81211,1,1,0,1,0
georgemarshall/django-cryptography,9,898,63,534,11466,132657,1009,194809,8,4,26053,946,171342,11207,128645,1,0,0,1,0
modoboa/modoboa,428,33671,1457,17832,21781,267576,1911,442121,24,3,31984,1616,313804,20636,245425,1,0,0,1,0
pipoline/rocket-python,34,1021,87,618,4428,70414,256,99648,23,21,83037,247,95170,4412,70076,0,1,0,0,0
archesproject/arches,376,55860,1722,31226,39549,590164,3074,855852,69,30,163113,2744,704424,37983,558223,1,2,0,1,0
simple-salesforce/simple-salesforce,11,2753,105,2214,5223,71347,363,106915,18,12,64845,338,92599,5125,69667,0,2,0,0,0
uploadcare/pyuploadcare,55,6042,314,3858,4554,65428,328,97178,16,7,52125,279,76839,4259,59956,1,0,0,0,1
tribler/tribler,362,43597,2636,30515,18946,346083,1333,525658,35,23,155964,1243,468770,18419,336872,1,1,0,1,0
cta-observatory/ctapipe,130,33840,1096,22864,60241,1097705,3448,1639135,50,18,271996,3131,1290891,58304,1029598,1,0,0,0,1
alex-rudakov/sphinx-argparse,5,1138,39,989,10250,141371,794,315332,23,19,88320,782,306351,10201,140507,0,1,0,0,0
pybel/pybel,183,27309,1236,15205,27021,558526,1441,765678,35,17,55757,1182,424402,25061,497966,0,1,0,0,0
ahmadfaizalbh/chatbot,8,1538,119,1233,883,22268,73,32798,5,5,32798,73,32798,883,22268,0,1,0,0,0
jjjake/internetarchive,28,6878,180,5076,1348,27874,128,41033,11,2,4727,102,29802,1162,24251,0,1,0,0,0
infobyte/faraday,169,22696,919,13199,13180,181674,591,273024,33,23,192787,538,237015,12981,177128,0,2,0,0,0
pylast/pylast,1,2918,235,2293,1780,27706,124,39980,8,3,10361,88,27258,1498,22705,1,0,0,0,1
common-workflow-language/cwltool,53,17493,494,14238,12453,277948,839,369317,33,17,172439,775,292177,12035,268600,0,1,0,0,0
common-workflow-language/cwltest,10,1667,44,1233,7127,110603,424,165219,25,17,60353,395,146989,6982,106913,0,1,0,0,0
common-workflow-language/schema_salad,55,18381,614,14909,4445,69457,293,108853,15,9,36078,257,91808,4262,65867,0,1,0,0,0
sdss/marvin,121,37421,1472,26749,57738,1153275,3798,1764751,63,25,323645,3331,1187429,54550,1047989,2,0,0,1,1
okigan/awscurl,5,626,19,499,3823,54347,190,78987,12,9,60841,179,72889,3807,54010,0,2,0,0,0
turbo87/utm,5,359,10,266,8460,107228,328,166806,12,12,166806,328,166806,8460,107228,0,1,0,0,0
opendronemap/odm,120,19807,695,16036,7346,108446,715,190123,26,21,152551,695,177651,7300,107241,0,2,0,0,0
zach-taylor/splunk_handler,2,381,17,304,899,22491,74,33066,6,3,5079,55,25486,783,19936,0,1,0,0,0
browniebroke/deezer-python,21,2058,134,1221,882,22187,73,32714,5,3,16103,65,28393,868,21908,0,1,0,0,0
pv8/noipy,6,582,28,299,882,22187,73,32714,5,3,16103,64,28236,866,21850,0,1,0,0,0
zhmcclient/python-zhmcclient,55,35050,982,26384,2987,50422,229,73678,21,11,29674,202,56060,2921,49188,0,1,0,0,0
gridsync/gridsync,81,15375,735,10034,22705,277568,1307,440619,34,21,327124,1240,401369,22495,271801,1,1,0,0,1
mroberge/hydrofunctions,11,2861,46,2225,29646,536258,2027,911432,41,29,357285,1865,716467,28336,489416,0,1,0,0,0
fpgawars/apio,33,4844,196,3410,6136,95331,445,141864,12,6,106083,421,130470,6046,93609,1,1,0,1,0
altdesktop/i3ipc-python,15,2722,132,1595,15354,208616,1096,423036,44,44,423036,1096,423036,15354,208616,0,1,0,0,0
googlemaps/google-maps-services-python,17,2983,73,2211,882,22187,73,32714,5,3,16103,64,28252,866,21878,0,1,0,0,0
thenetcircle/dino,168,29637,2135,19817,10496,254970,588,339124,11,5,150115,572,327502,10438,253452,0,1,0,0,0
ndokter/dsmr_parser,19,2152,93,1024,4710,59747,265,93144,13,8,70562,249,84356,4623,57885,0,1,0,0,0
yeti-platform/yeti,214,17125,739,11012,2217,35574,114,50119,10,10,50119,114,50119,2217,35574,0,1,0,0,0
uberi/speech_recognition,7,2055,58,1761,882,22187,73,32714,5,3,16103,64,28236,865,21837,0,1,0,0,0
deniscarriere/geocoder,67,8672,897,4271,3319,53921,317,84697,10,5,17552,284,64187,3214,52383,0,1,0,0,0
kinto/kinto-signer,17,2238,72,1837,12217,165964,713,243233,48,36,123377,669,214747,12046,162932,0,1,0,0,0
kinto/kinto,83,15629,820,11743,7220,104631,451,157015,39,21,49326,361,108410,6857,96628,0,1,0,0,0
svenevs/exhale,23,11127,193,8170,13266,166407,872,350141,28,24,157235,839,332420,13162,163715,0,1,0,0,0
fleet-commander/fc-client,24,2889,122,1715,20028,248526,1198,381702,47,47,381702,1198,381702,20028,248526,0,4,0,0,0
maxmind/geoip2-python,9,2467,73,804,2557,42582,157,61791,13,5,5106,123,42766,2397,38850,1,1,0,1,0
algolia/algoliasearch-client-python,33,3362,274,2550,10079,140963,585,233725,21,17,178200,565,225903,9964,138582,0,1,0,0,0
algolia/algoliasearch-django,14,1050,56,718,10121,132375,1006,193950,10,7,39647,978,187766,10065,131460,0,1,0,0,0
radish-bdd/radish,43,5411,259,3903,10465,126224,535,207266,15,15,207266,535,207266,10465,126224,0,1,0,0,0
pysat/pysat,37,18530,289,15783,26010,605478,1413,797271,28,17,32856,1154,490623,23701,527567,0,1,0,0,0
ultimaker/uranium,232,39528,2487,30306,8621,137909,706,250687,10,10,250687,706,250687,8621,137909,0,3,0,0,0
getslash/backslash,178,9567,828,5140,2744,44706,190,66124,12,8,39116,176,57415,2709,44242,0,1,0,0,0
namaggarwal/splitwise,19,2794,191,2157,1330,31883,156,46012,7,2,4811,133,37516,1243,30089,0,1,0,0,0
signalfx/signalfx-python,21,3473,254,1999,2090,36597,177,55694,9,4,21709,136,43255,1895,32716,0,1,0,0,0
thekevjames/coveralls-python,15,991,44,743,1531,32187,130,46545,7,3,16187,105,34702,1385,29863,0,1,0,0,0
closeio/tasktiger,22,4437,163,3294,2379,32319,100,43655,4,1,247,91,33524,2353,31732,1,0,0,1,0
oggm/oggm,42,30130,688,26862,30039,672582,1773,974810,27,14,144172,1520,656752,28033,599271,1,1,0,1,0
mendix/cf-mendix-buildpack,68,12308,684,9179,6909,90214,357,132482,18,5,35466,293,100675,6593,84287,3,0,0,2,1
ojarva/python-sshpubkeys,4,660,33,385,3059,31344,140,46041,5,3,25879,127,39322,3019,30930,1,0,0,1,0
getstream/stream-django,15,612,61,335,11863,154145,1091,226236,19,13,52990,1045,209559,11755,152326,0,2,0,0,0
jonathonreinhart/scuba,14,1739,91,1278,20218,287831,1289,511968,47,42,450541,1253,492898,20013,283204,0,1,0,0,0
miserlou/zappa,18,8782,251,7506,13463,203363,1215,399007,26,10,205105,1138,353553,13083,194473,0,1,0,0,0
christabor/flask_jsondash,21,2759,100,1556,5854,74308,277,107006,9,3,14643,225,79560,5655,70146,1,0,0,1,0
the-useless-one/pywerview,17,4203,144,3466,20326,256157,1331,486638,28,17,187848,1212,408486,19563,240404,1,0,0,1,0
cloudinary/pycloudinary,55,6980,409,4946,524,7713,43,12774,3,0,0,22,4314,418,5331,1,0,0,0,1
pnuckowski/aioresponses,4,634,40,476,1870,30956,96,44196,9,6,21817,87,38921,1845,30409,1,0,0,1,0
jpush/jpush-api-python-client,16,1312,98,793,882,22187,73,32714,5,3,16103,65,28393,868,21908,0,1,0,0,0
peopledoc/django-agnocomplete,29,2986,153,1230,9908,130188,975,191592,10,8,40645,896,157334,9608,124560,0,1,0,0,0
sdispater/orator,142,22907,1717,18447,3861,48407,874,222324,20,7,62002,798,192269,3586,42680,1,0,1,0,0
pdfminer/pdfminer.six,40,21113,666,8567,2614,27103,117,41362,4,2,19120,102,35679,2562,25656,1,0,0,1,0
sulab/wikidataintegrator,20,20770,434,8892,20317,376445,1400,563312,44,22,87514,1102,358119,18317,327132,0,1,0,0,0
cubewise-code/tm1py,91,28387,1891,23456,1405,26037,97,39316,8,2,4727,71,26626,1174,22288,0,1,0,0,0
alerta/alerta,108,16332,1005,11474,1751,34475,107,51567,11,5,11082,73,35465,1550,30497,0,1,0,0,0
pycqa/isort,50,10144,243,6570,12682,191581,857,325698,23,21,287298,854,321067,12656,191111,0,1,0,0,0
pydata/pandas-datareader,50,9497,349,6062,10828,259461,616,346234,12,4,5752,476,178260,9609,217007,0,1,0,0,0
