Identifier,Package,VersionConstraint
GHSA-6wcr-wcqm-3mfh,django,">= 1.7,< 1.7.11"
GHSA-6wcr-wcqm-3mfh,django,">= 1.8,< 1.8.7"
GHSA-6wcr-wcqm-3mfh,django,">= 1.9a1,< 1.9rc2"
GHSA-j66q-qmrc-89rx,jsonpickle,">= 0,<= 1.4.2"
GHSA-5mj6-643f-2g85,nova,">= 0,< 2013.1.3"
GHSA-54qj-48vx-cr9f,django,">= 0.91,< 0.91.2"
GHSA-54qj-48vx-cr9f,django,">= 0.95,< 0.95.3"
GHSA-54qj-48vx-cr9f,django,">= 0.96,< 0.96.2"
GHSA-46f9-f8jm-mw2x,Plone,">= 0,< 3.0.4"
GHSA-p9cv-hrxr-fxx8,restkit,">= 0,<= 4.2.2"
GHSA-9q62-r72g-pvv7,lmdb,">= 0,<= 0.97"
GHSA-rqxp-6926-hphr,moin,">= 0,< 1.6.3"
GHSA-8vpw-mgpf-mpvv,tornado,">= 0,< 3.2.2"
GHSA-859j-668v-mrr6,Products.CMFPlone,">= 0,< 4.3.17"
GHSA-859j-668v-mrr6,Products.CMFPlone,">= 5.0.0,< 5.0.10"
GHSA-859j-668v-mrr6,Products.CMFPlone,">= 5.1a1,< 5.1.0"
GHSA-g283-88v5-rmq2,salt,">= 0,< 2016.3.6"
GHSA-4r2w-w73w-36jm,eyeD3,">= 0,< 0.7.5"
GHSA-pf3p-v9xp-mrvf,lmdb,">= 0,<= 0.97"
GHSA-v735-2pp6-h86r,ansible,">= 0,<= 2.8"
GHSA-cvwc-g7fw-7xrj,plone,">= 0,< 2.5.3"
GHSA-crhm-qpjc-cm64,Django,">= 0,< 1.8.15"
GHSA-crhm-qpjc-cm64,Django,">= 1.9,< 1.9.10"
GHSA-m7f9-65wr-pwch,Plone,">= 5.0.0,< 5.0.7"
GHSA-m7f9-65wr-pwch,Plone,">= 4.2.0,< 4.3.12"
GHSA-fxwr-2vxm-cg7p,swift,">= 0,< 2.3.1"
GHSA-fxwr-2vxm-cg7p,swift,">= 2.4.0,< 2.5.1"
GHSA-hr59-35cr-qf43,plone,">= 0,< 4.2.3"
GHSA-hr59-35cr-qf43,plone,">= 4.3a1,< 4.3b1"
GHSA-cqmh-mpx2-g633,python-cjson,">= 0,< 1.0.5.1"
GHSA-gx6w-hcw3-5r37,plone,">= 0,< 4.0"
GHSA-w8hx-f868-pvch,neutron,">= 16.0.0,< 16.3.1"
GHSA-w8hx-f868-pvch,neutron,">= 0,< 15.3.3"
GHSA-w8hx-f868-pvch,neutron,">= 17.0.0,< 17.1.1"
GHSA-xp76-357g-9wqq,scipy,">= 0,< 0.12.1"
GHSA-gp69-xcm6-ffqj,web2py,">= 0,< 2.14.6"
GHSA-pqhm-4wvf-2jg8,tensorflow,">= 0,< 2.6.4"
