project,package_name,dependency_type,activation_status
holoviz/holoviews,certifi,Transitive,Bloated
holoviz/geoviews,certifi,Transitive,Bloated
oca/l10n-switzerland,certifi,Transitive,Undefined
kovacsbalu/wazeroutecalculator,certifi,Transitive,Bloated
johnmaguire/cardinal,requests,Direct,Bloated
johnmaguire/cardinal,cryptography,Transitive,Bloated
johnmaguire/cardinal,certifi,Transitive,Bloated
edx/auth-backends,certifi,Transitive,Bloated
edx/auth-backends,cryptography,Transitive,Bloated
edx/repo-tools,certifi,Transitive,Bloated
edx/edx-drf-extensions,certifi,Transitive,Bloated
edx/edx-drf-extensions,cryptography,Transitive,Bloated
edx/xblock-lti-consumer,certifi,Transitive,Bloated
edx/edx-proctoring,certifi,Transitive,Bloated
edx/edx-proctoring,cryptography,Transitive,Inactive
edx/edx-enterprise,certifi,Transitive,Bloated
edx/edx-enterprise,cryptography,Direct,Bloated
edx/edx-search,certifi,Transitive,Bloated
minio/minio-py,certifi,Direct,Undefined
elastic/rally,cryptography,Transitive,Bloated
elastic/rally,certifi,Direct,Undefined
elastic/elasticsearch-py,certifi,Transitive,Bloated
eternnoir/pytelegrambotapi,certifi,Transitive,Undefined
nvbn/thefuck,cryptography,Transitive,Bloated
nvbn/thefuck,certifi,Transitive,Bloated
mwclient/mwclient,certifi,Transitive,Bloated
rdmorganiser/rdmo,certifi,Transitive,Bloated
rdmorganiser/rdmo,cryptography,Transitive,Bloated
rdmorganiser/rdmo,py,Transitive,Bloated
lbl-anp/becquerel,certifi,Transitive,Bloated
punch-cyber/stoq,certifi,Transitive,Bloated
mitmproxy/mitmproxy,certifi,Direct,Undefined
mitmproxy/mitmproxy,cryptography,Direct,Undefined
stripe/stripe-python,certifi,Transitive,Bloated
iconfinder/pyvat,certifi,Transitive,Bloated
infoportugal/wagtail-modeltranslation,certifi,Transitive,Bloated
voxpupuli/puppetboard,certifi,Transitive,Bloated
voxpupuli/puppetboard,requests,Transitive,Inactive
voxpupuli/pypuppetdb,certifi,Transitive,Bloated
metaodi/osmapi,certifi,Transitive,Bloated
vonage/vonage-python-sdk,certifi,Transitive,Bloated
vonage/vonage-python-sdk,cryptography,Transitive,Bloated
xml-security/signxml,cryptography,Direct,Inactive
xml-security/signxml,certifi,Direct,Undefined
python273/vk_api,certifi,Transitive,Bloated
sergeypirogov/webdriver_manager,certifi,Transitive,Bloated
gallopsled/pwntools,certifi,Transitive,Bloated
gallopsled/pwntools,cryptography,Transitive,Bloated
chaoss/grimoirelab-perceval,cryptography,Direct,Bloated
chaoss/grimoirelab-perceval,certifi,Transitive,Bloated
plivo/sharq-server,gunicorn,Direct,Inactive
plivo/sharq-server,Werkzeug,Direct,Inactive
s4w3d0ff/python-poloniex,certifi,Transitive,Bloated
dov-vlaanderen/pydov,certifi,Transitive,Bloated
appium/python-client,certifi,Transitive,Bloated
pysmo/aimbat,certifi,Transitive,Bloated
zerodha/pykiteconnect,certifi,Transitive,Bloated
zerodha/pykiteconnect,autobahn,Direct,Inactive
zerodha/pykiteconnect,cryptography,Transitive,Inactive
edcd/edmarketconnector,requests,Direct,Active
edcd/edmarketconnector,certifi,Transitive,Bloated
jamesoff/simplemonitor,certifi,Transitive,Bloated
